
Deployment Image Servicing and Management tool
Version: 10.0.19041.844

Image Version: 10.0.19044.1620

Packages listing:


--------------------------------------------------------------------------------------------------- | ---------- | --------------- | ------------------
Package Identity                                                                                    | State      | Release Type    | Install Time      
--------------------------------------------------------------------------------------------------- | ---------- | --------------- | ------------------
Microsoft-Windows-WordPad-FoD-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1                     | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-WordPad-FoD-Package~31bf3856ad364e35~amd64~~10.0.19041.1566                       | Installed  | OnDemand Pack   | 2/19/2022 2:39 PM 
Microsoft-Windows-WordPad-FoD-Package~31bf3856ad364e35~wow64~en-US~10.0.19041.1                     | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-WordPad-FoD-Package~31bf3856ad364e35~wow64~~10.0.19041.1                          | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-Xps-Xps-Viewer-Opt-Package~31bf3856ad364e35~amd64~~10.0.19041.1620                | Installed  | OnDemand Pack   | 4/5/2022 4:14 PM  
OpenSSH-Client-Package~31bf3856ad364e35~amd64~~10.0.19041.964                                       | Installed  | OnDemand Pack   | 6/21/2021 9:14 AM 
Package_for_DotNetRollup~31bf3856ad364e35~amd64~~10.0.1.3176                                        | Superseded | Update          | 5/11/2020 5:37 AM 
Package_for_DotNetRollup~31bf3856ad364e35~amd64~~10.0.4488.1                                        | Installed  | Update          | 2/18/2022 2:39 AM 
Package_for_KB4537759~31bf3856ad364e35~amd64~~10.0.1.0                                              | Installed  | Security Update | 5/11/2020 5:43 AM 
Package_for_KB4557968~31bf3856ad364e35~amd64~~19041.262.1.1                                         | Installed  | Security Update | 5/11/2020 5:36 AM 
Package_for_KB4560366~31bf3856ad364e35~amd64~~19041.329.1.2                                         | Installed  | Security Update | 6/29/2020 10:53 AM
Package_for_KB4561600~31bf3856ad364e35~amd64~~10.0.1.0                                              | Installed  | Security Update | 6/29/2020 12:14 PM
Package_for_KB4566785~31bf3856ad364e35~amd64~~19041.386.1.2                                         | Installed  | Security Update | 7/22/2020 8:06 AM 
Package_for_KB4570334~31bf3856ad364e35~amd64~~19041.441.1.2                                         | Installed  | Security Update | 8/13/2020 1:55 PM 
Package_for_KB4577266~31bf3856ad364e35~amd64~~19041.504.1.2                                         | Installed  | Security Update | 9/11/2020 2:26 PM 
Package_for_KB4577586~31bf3856ad364e35~amd64~~10.0.1.2                                              | Installed  | Update          | 2/19/2021 3:24 PM 
Package_for_KB4580325~31bf3856ad364e35~amd64~~10.0.1.0                                              | Installed  | Security Update | 10/20/2020 3:14 PM
Package_for_KB4586864~31bf3856ad364e35~amd64~~19041.621.1.0                                         | Installed  | Security Update | 11/12/2020 3:48 PM
Package_for_KB4589212~31bf3856ad364e35~amd64~~10.0.2.4                                              | Installed  | Update          | 3/12/2021 2:18 PM 
Package_for_KB4593175~31bf3856ad364e35~amd64~~19041.680.1.0                                         | Installed  | Security Update | 12/9/2020 2:41 AM 
Package_for_KB4598481~31bf3856ad364e35~amd64~~19041.740.1.1                                         | Installed  | Security Update | 1/13/2021 2:58 AM 
Package_for_KB5000736~31bf3856ad364e35~amd64~~10.0.1.3                                              | Installed  | Update          | 6/24/2021 8:56 PM 
